"Id","ParentId","CommentBody","CreatedById","CreatedDate","LastModifiedDate","IsPublished","IsDeleted"
"00aQk00000AMEBRIA5","500Qk00000IKIHlIAP","On Escalation Ticket # 00427807 the Following Fields have been updated: 
Account ACV has been changed to 284648.626666666667392.","005Qk000002i2OLIAY","2024-11-21T15:13:01.000Z","2024-11-21T15:13:01.000Z","false","false"
"00aQk00000AMED3IAP","500Qk00000IKIHlIAP","On Escalation Ticket # 00427807 the Following Fields have been updated: 
Account ACV has been changed to 142324.313333333333696.","005Qk000002i2OLIAY","2024-11-21T15:13:02.000Z","2024-11-21T15:13:02.000Z","false","false"
"00aQk00000ANHaHIAX","500Qk00000IKIHlIAP","On Escalation Ticket # 00427807 the Following Fields have been updated: 
Status has been changed to Awaiting Escalating Engineer.","0054u000006gtWUAAY","2024-11-22T08:59:49.000Z","2024-11-22T08:59:49.000Z","false","false"
"00aQk00000ANHaJIAX","500Qk00000IKIHlIAP","On Escalation Ticket # 00427807 the new comment has been added: Krzysztof Staszalek:

@WaitingOnEngineer

As Dev queue is extremely overload, and shouldn't be burn for some generic sales questions, to save time and cycles, I'm recommending to first look for answers first:

	 - 	https://helpcenter.netwrix.com/search?bundle=EndpointProtector_5.9.4&personalize=true&q=metadata

	 - 	Ask Sales Engineering colleges who knows most common use case related answers
	 - 	Ask Support collogues first, as most probably they already deal with such case in support perspective. 
	 - 	Ask our CSM team who is also dealing with similar requests.
	 - 	Ask our Sales collogues, especially Zoran. 
Search ADO for keywords. https://dev.azure.com/NetwrixCorporation/CoSoSys-EPP/_search?text=metadata&type=workitem&pageSize=25&filters=Projects%7BCoSoSys-EPP%7D&includeFacets=false
	 - 	Then raise an ticket to DEV. 


Here, you are correct, there is not yet introduced integration with Netwrix Data Classification (it is in future roadmap), but we can deal with metadata of office/pdf files. By creating custom dictionaries you can define the pattern related to NDC metadata. 


 BR, Krzysiek
fyi @Cristian-Alexandru Halmajan

[DevOps CommentId:11261873]","0054u000006gtWUAAY","2024-11-22T08:59:49.000Z","2024-11-22T08:59:49.000Z","false","false"
"00aQk00000ANHgkIAH","500Qk00000IKIHlIAP","On Escalation Ticket # 00427807 the new comment has been added: Krzysztof Staszalek:

@WaitingOnEngineer

As Dev queue is extremely overload, and shouldn't be burn for some generic sales questions, to save time and cycles, I'm recommending to first look for answers first:

	 - 	Check our help center portal https://helpcenter.netwrix.com/search?bundle=EndpointProtector_5.9.4&personalize=true&q=metadata

	 - 	Ask Sales Engineering colleges who knows most common use case related answers
	 - 	Ask Support collogues first, as most probably they already deal with such case in support perspective. 
	 - 	Ask our CSM team who is also dealing with similar requests.
	 - 	Ask our Sales collogues, especially Zoran. 
Search ADO for keywords. https://dev.azure.com/NetwrixCorporation/CoSoSys-EPP/_search?text=metadata&type=workitem&pageSize=25&filters=Projects%7BCoSoSys-EPP%7D&includeFacets=false
if not accessible for you, serach SalesForce portal.
	 - 	Then raise an ticket to DEV. 


Here, you are correct, there is not yet introduced integration with Netwrix Data Classification (it is in future roadmap), but we can deal with metadata of office/pdf files. By creating custom dictionaries you can define the pattern related to NDC metadata. 


 BR, Krzysiek
fyi @Cristian-Alexandru Halmajan

[DevOps CommentId:11261912]","0054u000006gtWUAAY","2024-11-22T09:04:44.000Z","2024-11-22T09:04:44.000Z","false","false"
"00aQk00000ANHiMIAX","500Qk00000IKIHlIAP","On Escalation Ticket # 00427807 the new comment has been added: Krzysztof Staszalek:

@WaitingOnEngineer

As Dev queue is extremely overload, and shouldn't be burn for some generic sales questions, to save time and cycles, I'm recommending to first look for answers first:

	 - 	Check our help center portal https://helpcenter.netwrix.com/search?bundle=EndpointProtector_5.9.4&personalize=true&q=metadata

	 - 	Ask Sales Engineering colleges who knows most common use case related answers
	 - 	Ask Support collogues first, as most probably they already deal with such case in support perspective. 
	 - 	Ask our CSM team who is also dealing with similar requests.
	 - 	Ask our Sales collogues, especially Zoran. 
Search ADO for keywords. https://dev.azure.com/NetwrixCorporation/CoSoSys-EPP/_search?text=metadata&type=workitem&pageSize=25&filters=Projects%7BCoSoSys-EPP%7D&includeFacets=false
if not accessible for you, serach SalesForce portal.
	 - 	Then raise an ticket to DEV. 


Here, you are correct, there is not yet introduced integration with Netwrix Data Classification (it is in future roadmap), but we can deal with metadata of office/pdf files. By creating custom dictionaries you can define the pattern related to NDC metadata. 


 BR, Krzysiek
fyi @Cristian-Alexandru Halmajan

[DevOps CommentId:11261912]","0054u000006gtWUAAY","2024-11-22T09:04:45.000Z","2024-11-22T09:04:45.000Z","false","false"
"00aQk00000AQTS1IAP","500Qk00000IKIHlIAP","On Escalation Ticket # 00427807 the Following Fields have been updated: 
Status has been changed to Awaiting Client.","005Qk000002i2OLIAY","2024-11-25T19:39:34.000Z","2024-11-25T19:39:34.000Z","false","false"
"00aQk00000AVwefIAD","500Qk00000IKIHlIAP","On Escalation Ticket # 00427807 the Following Fields have been updated: 
Status has been changed to Awaiting Escalating Engineer.","0054u000006gtWUAAY","2024-12-02T05:02:55.000Z","2024-12-02T05:02:55.000Z","false","false"
"00aQk00000AVwehIAD","500Qk00000IKIHlIAP","On Escalation Ticket # 00427807 the new comment has been added: -- DevOps Automation Assistant --

This escalation has been in the status 'Awaiting Support' since 2024-11-22 09:04 UTC and no response has been detected.

If this escalation has been resolved with the customer, please add a comment so this can be closed in Azure DevOps.

@WaitingOnEngineer

[DevOps CommentId:11298663]","0054u000006gtWUAAY","2024-12-02T05:02:55.000Z","2024-12-02T05:02:55.000Z","false","false"
"00aQk00000AZBu5IAH","500Qk00000IKIHlIAP","On Escalation Ticket # 00427807 the Following Fields have been updated: 
Status has been changed to Awaiting Client.","005Qk000002i2OLIAY","2024-12-04T15:55:50.000Z","2024-12-04T15:55:50.000Z","false","false"
