"Id","ParentId","CommentBody","CreatedById","CreatedDate","LastModifiedDate","IsPublished","IsDeleted"
"00aQk00000B5ZYHIA3","500Qk00000K2hGhIAJ","On Escalation Ticket # 00431254 the Following Fields have been updated: 
Account ACV has been changed to 3717770.44.","005Qk000001nVk9IAE","2025-01-06T18:59:37.000Z","2025-01-06T18:59:37.000Z","false","false"
"00aQk00000B5ZZtIAN","500Qk00000K2hGhIAJ","On Escalation Ticket # 00431254 the Following Fields have been updated: 
Account ACV has been changed to 1858885.22.","005Qk000001nVk9IAE","2025-01-06T18:59:40.000Z","2025-01-06T18:59:40.000Z","false","false"
"00aQk00000BET0bIAH","500Qk00000K2hGhIAJ","Hi team,

Customer is looking for an update on this. We are planning to upgrade to an Ubuntu 22 image in the coming months that expands the root partition size to 50 gb which should help with this issue. The customer would like to now why the issue is occurring now though and if there are any steps to correct it currently without manual intervention.","005Qk000001nVk9IAE","2025-01-14T15:06:37.000Z","2025-01-14T15:06:37.000Z","false","false"
"00aQk00000BERy7IAH","500Qk00000K2hGhIAJ","On Escalation Ticket # 00431254 the new comment has been added: Hi team,

Customer is looking for an update on this. We are planning to upgrade to an Ubuntu 22 image in the coming months that expands the root partition size to 50 gb which should help with this issue. The customer would like to now why the issue is occurring now though and if there are any steps to correct it currently without manual intervention.","005Qk000001nVk9IAE","2025-01-14T15:15:45.000Z","2025-01-14T15:15:45.000Z","false","false"
"00aQk00000BEUUXIA5","500Qk00000K2hGhIAJ","On Escalation Ticket # 00431254 the Following Fields have been updated: 
Account ACV has been changed to 2339033.62.","0054u000006gtWUAAY","2025-01-14T15:15:56.000Z","2025-01-14T15:15:56.000Z","false","false"
"00aQk00000BEhraIAD","500Qk00000K2hGhIAJ","On Escalation Ticket # 00431254 the new comment has been added: As a follow up, Comerica is reporting that ever since this banner has been consistently appearing, they are experiencing much worse performance in the console. While navigating around today during a call, we received a handful of timeouts and ERR_EMPTY_RESPONSE messages in Edge. This is on server version 5.9.4.0","005Qk000001nVk9IAE","2025-01-14T17:14:55.000Z","2025-01-14T17:14:55.000Z","false","false"
"00aQk00000BTIRSIA5","500Qk00000K2hGhIAJ","On Escalation Ticket # 00431254 the new comment has been added: Comerica's disk space hit 29% utilized today. They are under the impression that cleanup job begins at 30% utilized, is this true?","005Qk000001nVk9IAE","2025-01-27T20:44:22.000Z","2025-01-27T20:44:22.000Z","false","false"
"00aQk00000BjKh0IAF","500Qk00000K2hGhIAJ","On Escalation Ticket # 00431254 the new comment has been added: We will hopefully be able to get customer onto a newer appliance version (they are currently using the Ubuntu 18 image with 20 gb root partition space) where there is 50 gb space on the root partition.","005Qk000001nVk9IAE","2025-02-10T20:48:09.000Z","2025-02-10T20:48:09.000Z","false","false"
"00aQk00000C3ljRIAR","500Qk00000K2hGhIAJ","On Escalation Ticket # 00431254 the Following Fields have been updated: 
Account ACV has been changed to 2259833.62.","0054u000006gtWUAAY","2025-02-28T11:29:24.000Z","2025-02-28T11:29:24.000Z","false","false"
"00aQk00000C7DUfIAN","500Qk00000K2hGhIAJ","On Escalation Ticket # 00431254 the Following Fields have been updated: 
Status has been changed to Closed - Resolved.","005Qk000001nVk9IAE","2025-03-03T23:21:19.000Z","2025-03-03T23:21:19.000Z","false","false"
"00aQk00000C7DUhIAN","500Qk00000K2hGhIAJ","On Escalation Ticket # 00431254 the Following Fields have been updated: 
Account ACV has been changed to 4519667.24.","005Qk000001nVk9IAE","2025-03-03T23:21:23.000Z","2025-03-03T23:21:23.000Z","false","false"
"00aQk00000C7DWHIA3","500Qk00000K2hGhIAJ","On Escalation Ticket # 00431254 the Following Fields have been updated: 
Account ACV has been changed to 2259833.62.","005Qk000001nVk9IAE","2025-03-03T23:21:29.000Z","2025-03-03T23:21:30.000Z","false","false"
